shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,cost,time,status,seed
7168,9216,2.0,1,64,16,8,4,10,0.9,-945.9329158442644,0.1,SUCCESS,1
6656,13312,1.5,1,64,2,4,10,10,0.9,-943.269715130974,0.1,SUCCESS,1
5632,13312,5.5,100,64,2,8,4,5,0.9,-843.1640590148573,0.1,SUCCESS,1
5632,13312,2.0,1,16,2,8,4,10,0.9,-829.8308743297207,0.1,SUCCESS,1
6656,21504,8.0,1,64,16,4,4,10,0.9,-921.3121507570183,0.1,SUCCESS,1
7680,13312,5.5,1,24,2,4,10,10,0.9,-911.1911788969168,0.1,SUCCESS,1
896,23552,8.0,300,20,4,4,4,10,0.9,-449.3480707335719,0.1,SUCCESS,1
6656,4096,1.5,1,32,2,4,4,10,0.9,-871.0452711631062,0.1,SUCCESS,1
7680,9216,6.5,300,20,16,8,4,10,0.9,-931.9806354366066,0.1,SUCCESS,1
3584,13312,2.0,1,64,2,8,4,10,0.9,-739.298297500777,0.1,SUCCESS,1
5632,14336,2.0,100,32,2,8,10,10,0.9,-913.5378206362652,0.1,SUCCESS,1
5632,13312,2.0,1,64,4,8,4,10,0.9,-921.341451842087,0.1,SUCCESS,1
6144,8192,3.5,1,24,2,8,4,10,0.9,-917.2180259040688,0.1,SUCCESS,1
6144,13312,5.5,200,64,1,8,4,10,0.9,-933.1582567910274,0.1,SUCCESS,1
5632,23552,7.0,1,16,1,4,10,10,0.9,-931.3627824539792,0.1,SUCCESS,1
7680,25600,7.0,100,16,2,4,4,10,0.9,-963.2775992163452,0.1,SUCCESS,1
5632,6144,1.0,1,20,16,4,10,10,0.9,-933.4050851662796,0.1,SUCCESS,1
4096,23552,7.0,1,20,2,8,10,10,0.9,-848.8550774496532,0.1,SUCCESS,1
6656,25600,8.0,400,8,4,4,4,10,0.9,-890.8190889325931,0.1,SUCCESS,1
7680,9216,4.0,1,32,16,8,10,10,0.9,-916.9516424713694,0.1,SUCCESS,1
7680,21504,7.5,100,8,1,4,4,5,0.9,-778.1146443625961,0.1,SUCCESS,1
6656,11264,1.5,1,64,16,8,4,10,0.9,-936.4144658863562,0.1,SUCCESS,1
6656,21504,6.5,100,24,2,4,4,10,0.9,-882.4203931281412,0.1,SUCCESS,1
5120,10240,6.0,1,64,1,4,10,10,0.9,-919.5682304336484,0.1,SUCCESS,1
6144,10240,7.0,400,20,8,8,10,5,0.9,-806.2845349291352,0.1,SUCCESS,1
5632,11264,7.5,1,24,2,8,4,10,0.9,-918.8408473966776,0.1,SUCCESS,1
