shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,cost,time,status,seed
7168,17408,3.0,1,32,2,4,10,10,0.9,-839.6605418430654,0.1,SUCCESS,1
2560,29696,0.1,200,4,2,8,4,10,0.9,-443.32803690425806,0.1,SUCCESS,1
5632,13312,1.1,1,64,1,4,4,5,0.9,-716.6955558889172,0.1,SUCCESS,1
5120,21504,8.0,1,8,16,4,4,10,0.9,-798.0152981342237,0.1,SUCCESS,1
4608,30720,6.5,100,16,2,4,4,10,0.9,-807.0310483019917,0.1,SUCCESS,1
6656,9216,6.0,200,32,16,4,4,10,0.9,-825.1521943688831,0.1,SUCCESS,1
5632,14336,7.5,1,24,4,8,10,10,0.9,-789.5562653219979,0.1,SUCCESS,1
7680,10240,1.5,1,64,16,4,4,10,0.9,-831.8819467779942,0.1,SUCCESS,1
6144,6144,1.5,1,64,8,4,10,10,0.9,-837.6843407724489,0.1,SUCCESS,1
7680,25600,5.0,100,64,16,8,10,10,0.9,-814.6609540256343,0.1,SUCCESS,1
4096,11264,7.0,1,24,1,8,4,10,0.9,-750.1849482234852,0.1,SUCCESS,1
5632,19456,7.5,100,64,1,8,4,10,0.9,-824.4276436432735,0.1,SUCCESS,1
5120,6144,2.0,1,32,4,8,4,10,0.9,-825.4927168593857,0.1,SUCCESS,1
6144,13312,4.5,1,4,2,8,4,5,0.9,-575.4600314545229,0.1,SUCCESS,1
5120,51200,7.0,400,20,2,8,10,5,0.9,-715.4381709288685,0.1,SUCCESS,1
2048,9216,6.5,400,24,8,8,10,10,0.9,-438.4112596383464,0.1,SUCCESS,1
7168,11264,1.5,100,8,1,8,4,10,0.9,-811.8636555850754,0.1,SUCCESS,1
7680,25600,6.0,300,8,2,4,4,10,0.9,-792.8806761736967,0.1,SUCCESS,1
5632,15360,5.5,1,64,2,8,4,10,0.9,-697.1748710505359,0.1,SUCCESS,1
7680,10240,6.5,400,20,16,8,4,10,0.9,-808.1428901720166,0.1,SUCCESS,1
7168,17408,6.0,1,64,16,4,4,10,0.9,-831.4862190014154,0.1,SUCCESS,1
6144,21504,5.0,1,64,2,8,4,5,0.9,-697.8029993182977,0.1,SUCCESS,1
5632,14336,0.1,200,8,1,8,4,10,0.9,-781.3448734273394,0.1,SUCCESS,1
6656,9216,7.0,200,64,1,4,4,10,0.9,-820.8929751531015,0.1,SUCCESS,1
6144,8192,8.0,400,24,8,4,4,10,0.9,-801.4659985022914,0.1,SUCCESS,1
5632,4096,8.0,300,20,1,8,4,10,0.9,-838.636611615764,0.1,SUCCESS,1
5632,21504,2.5,1,24,1,4,4,10,0.9,-831.5556118860138,0.1,SUCCESS,1
6656,23552,7.5,300,16,16,8,4,10,0.9,-823.3818535984102,0.1,SUCCESS,1
768,19456,2.0,100,16,1,4,4,5,0.9,-296.3231264094125,0.1,SUCCESS,1
5632,14336,1.5,1,64,2,8,4,10,0.9,-836.3462255274865,0.1,SUCCESS,1
5632,6990,5.5,1,32,1,8,10,10,0.9,-822.1779741895506,0.1,SUCCESS,1
4608,13312,2.5,200,64,2,8,4,10,0.9,-758.8503141595368,0.1,SUCCESS,1
6656,13312,3.0,100,64,16,8,4,10,0.9,-805.6507639598964,0.1,SUCCESS,1
6656,29696,4.5,1,32,16,4,4,10,0.9,-792.4597476165711,0.1,SUCCESS,1
7680,13312,2.5,1,24,1,8,10,10,0.9,-824.7707600260717,0.1,SUCCESS,1
5632,6144,2.5,1,4,16,4,4,10,0.9,-569.4244283766443,0.1,SUCCESS,1
6144,13312,3.5,100,24,4,8,4,10,0.9,-824.9954036454534,0.1,SUCCESS,1
7680,13312,2.0,1,64,1,8,4,5,0.9,-696.0648952665955,0.1,SUCCESS,1
5632,8192,6.5,300,20,16,8,4,10,0.9,-820.854990511798,0.1,SUCCESS,1
7680,5120,6.0,100,16,16,4,4,10,0.9,-835.6005495132042,0.1,SUCCESS,1
